Target,Uniprot,Multiplicity
G7CNL4_6d4t,G7CNL4,1
P11362_5ur1,P11362,1
Q08499_3g4i,Q08499,3
Q07343_1ro6,Q07343,1
O60674_4yti,O60674,2
O15496_5owc,O15496,1
O96935_6eed,O96935,1
P25440_5dw1,P25440,2
O33877_4cl6,O33877,3
P49137_2jbp,P49137,2
P23458_4fk6,P23458,1
P55072_4kln,P55072,2
Q99683_4bie,Q99683,1
Q28175_4rse,Q28175,1
P23458_4e4n,P23458,1
P03369_1d4k,P03369,1
O14757_3pa3,O14757,2
P19491_1n0t,P19491,2
O60674_4c61,O60674,2
P22102_4zz1,P22102,1
P17612_3l9n,P17612,1
P56817_2vj7,P56817,3
P00720_4w55,P00720,1
P97612_3oj8,P97612,1
Q16539_1wbs,Q16539,4
P00491_1rr6,P00491,1
Q00955_5ctb,Q00955,5
P51812_4nw6,P51812,1
P24630_3fq7,P24630,2
P00918_3m40,P00918,3
P24941_3pxf,P24941,3
P08235_6ggg,P08235,1
A5K8L9_5xmp,A5K8L9,3
P00742_1lpk,P00742,2
P00918_5nxi,P00918,3
P52700_5hh5,P52700,1
P56817_3lpi,P56817,3
Q9H2K2_5nvh,Q9H2K2,2
P11309_4k18,P11309,1
P0A6I6_6chq,P0A6I6,1
P03951_4ty6,P03951,2
O95271_4msg,O95271,2
Q05320_6g9i,Q05320,1
O43570_4q0l,O43570,1
P00772_1elb,P00772,1
P9WFY7_6jof,P9WFY7,1
O60885_5lrq,O60885,1
P56817_6nv7,P56817,3
P17931_5nf9,P17931,1
P16404_1axz,P16404,1
A5K1A2_4b13,A5K1A2,1
Q07820_6udy,Q07820,1
P04789_1tsi,P04789,1
P48736_5oq4,P48736,1
P07986_1j01,P07986,1
O76083_4g2l,O76083,1
P11838_3wz6,P11838,5
P56817_3vg1,P56817,3
P03367_1hsg,P03367,2
P24941_3lfs,P24941,3
P32589_3c7n,P32589,1
P56817_3udj,P56817,3
P10688_1mai,P10688,1
P00742_2boh,P00742,2
P56817_3zmg,P56817,3
Q89ZI2_5fl0,Q89ZI2,1
Q13093_5lz7,Q13093,1
P56817_4j1f,P56817,3
P56817_4h1e,P56817,3
Q16539_3iw8,Q16539,4
P00533_5uga,P00533,1
P03367_1sgu,P03367,2
P23687_4amy,P23687,1
Q16654_2zkj,Q16654,1
D9J2T9_4emr,D9J2T9,1
P09211_5x79,P09211,5
P00489_2pyi,P00489,4
P00533_5edr,P00533,1
Q9UBN7_5wpb,Q9UBN7,1
P24182_3jzi,P24182,2
P07267_1fq7,P07267,3
P02879_3rti,P02879,1
Q9NWZ3_5uis,Q9NWZ3,1
P00918_5fdc,P00918,3
P04637_2vuk,P04637,10
Q07010_5kam,Q07010,1
P08581_4deh,P08581,1
Q96RI1_5q0w,Q96RI1,1
P08069_3nw5,P08069,2
Q6Q3H7_4p7m,Q6Q3H7,1
P47811_3p5k,P47811,4
Q6PL18_4qsv,Q6PL18,5
P00918_5ehe,P00918,3
P40409_2xuz,P40409,1
P60472_4h38,P60472,1
P01011_6hgf,P01011,1
P43405_4xg4,P43405,1
P65249_4gfd,P65249,1
P52700_2hb9,P52700,1
P00760_1v2r,P00760,2
Q9Y233_5axq,Q9Y233,1
P00797_3vyd,P00797,3
P13009_6bdy,P13009,1
P03951_4crd,P03951,2
P00533_4rj6,P00533,1
O75173_4wk7,O75173,1
A5K1A2_5g22,A5K1A2,1
P08581_4knb,P08581,1
P54818_4ufl,P54818,3
P81947_5xag,P81947,9
Q16658_6i18,Q16658,1
P00489_1a8i,P00489,4
P21836_4b81,P21836,4
Q9K2N0_5mxq,Q9K2N0,2
A5K8L9_4tn4,A5K8L9,3
P00918_1bnu,P00918,3
P00918_4q7p,P00918,3
Q99538_5lub,Q99538,6
Q9H2K2_4ux4,Q9H2K2,2
Q54276_1w1y,Q54276,1
P27958_2f9v,P27958,1
Q4DA54_4yrr,Q4DA54,1
P27487_3vjk,P27487,11
A5H660_6hu1,A5H660,3
Q6L545_3ebl,Q6L545,1
P00338_5w8h,P00338,4
Q90K99_4djo,Q90K99,1
O66496_3e12,O66496,1
P04637_5aol,P04637,10
P07900_1uy8,P07900,1
C3W5S3_3ti4,C3W5S3,4
P56740_1rri,P56740,1
Q00534_5l2t,Q00534,1
P00918_4q7v,P00918,3
P08581_5hor,P08581,1
P14324_5djp,P14324,3
Q8KNP3_3m89,Q8KNP3,1
P39900_6ekn,P39900,1
O60674_3tjc,O60674,2
C3W5S0_5wa7,C3W5S0,2
Q04609_3d7g,Q04609,5
O76074_2h42,O76074,2
Q05397_4i4e,Q05397,1
Q04771_6gip,Q04771,7
P33247_1h3b,P33247,1
O60885_5dlx,O60885,1
P00338_4qsm,P00338,4
P50097_1me7,P50097,2
O53623_6hrw,O53623,1
P28907_3u4h,P28907,1
P04637_6ggd,P04637,10
P15056_3idp,P15056,2
P07900_4egh,P07900,1
Q9Y6F1_4l7r,Q9Y6F1,1
P78417_4yqm,P78417,1
Q07343_1y2j,Q07343,1
P25774_5qbv,P25774,1
P48736_4ezk,P48736,1
P24941_1h1s,P24941,3
P21836_2ha5,P21836,4
A4TVL0_6r1d,A4TVL0,1
P11362_4rwj,P11362,1
P00915_2nn1,P00915,1
Q99683_6oyw,Q99683,1
P56817_3qbh,P56817,3
P00918_2gd8,P00918,3
P0C6F2_3vfa,P0C6F2,1
P10275_1xow,P10275,4
Q9NZQ7_5n2f,Q9NZQ7,1
Q8I4S1_2yoh,Q8I4S1,1
P51955_2xnn,P51955,1
P56817_5i3w,P56817,3
P22887_1hiy,P22887,3
P51955_2xkf,P51955,1
P22887_1s5z,P22887,2
P14324_5djv,P14324,3
P07900_4awq,P07900,1
O14757_2e9n,O14757,2
Q16539_3u8w,Q16539,4
P24941_2a0c,P24941,2
P04637_4ago,P04637,10
Q9NRD5_6bjo,Q9NRD5,1
P00517_1veb,P00517,1
Q89FH0_2dw7,Q89FH0,1
P00918_3rz1,P00918,9
Q92793_6ay5,Q92793,2
P11309_5kcx,P11309,1
P49137_3a2c,P49137,2
O60885_4qzs,O60885,1
P08716_2pmk,P08716,1
P00918_1cil,P00918,3
Q8IXJ6_5mar,Q8IXJ6,2
Q13153_4zy6,Q13153,1
Q9KPL5_4pb2,Q9KPL5,2
Q04609_4p4d,Q04609,5
O26708_1nj1,O26708,1
P0A3F4_2xbp,P0A3F4,1
P00742_2vwm,P00742,2
P22515_5l6h,P22515,1
P56817_2oht,P56817,3
D0C9L6_4jx9,D0C9L6,1
P49336_5icp,P49336,1
P26663_3h98,P26663,3
P56817_3msl,P56817,3
P08559_3exf,P08559,1
Q9UNA0_3hy9,Q9UNA0,1
Q86WV6_4loh,Q86WV6,4
P56817_4dus,P56817,3
O54438_4bnx,O54438,2
P06401_3kba,P06401,1
Q16539_3iw7,Q16539,4
Q16539_1zzl,Q16539,4
D0VX21_3sus,D0VX21,1
O74036_4b32,O74036,2
P27487_2oqv,P27487,1
P11838_5oje,P11838,5
A5K8L9_5gvm,A5K8L9,3
Q873X9_3chd,Q873X9,1
P50097_1lrt,P50097,2
P56817_3in3,P56817,3
O60885_4uiz,O60885,1
P23687_4amz,P23687,1
P45452_1ztq,P45452,1
O14757_4hyh,O14757,2
P00918_5flo,P00918,3
P24941_4cfu,P24941,3
P03951_4x6o,P03951,2
O33877_4b0j,O33877,3
Q9I5Q5_4mo4,Q9I5Q5,1
Q9BJF5_3v5p,Q9BJF5,1
P55144_4feq,P55144,1
O14684_5bqh,O14684,1
P18031_2f6v,P18031,11
P33981_3wzj,P33981,1
P04278_1lhv,P04278,1
Q09472_5kj2,Q09472,2
Q9H2K2_4l10,Q9H2K2,2
Q92793_5ktw,Q92793,2
P24941_2w17,P24941,2
O00329_6pyr,O00329,1
Q86U86_5fh8,Q86U86,1
O35820_4kxn,O35820,3
P08709_4zxy,P08709,1
P53634_6rn6,P53634,2
P22102_4zyx,P22102,1
P0AE18_2gg8,P0AE18,1
P10415_4man,P10415,2
P00323_1azl,P00323,4
P56817_3kn0,P56817,3
P61964_5m25,P61964,2
Q8I6V3_5yie,Q8I6V3,1
P02879_4huo,P02879,1
Q57193_1pzj,Q57193,2
P33247_1o6h,P33247,1
O14757_4rvl,O14757,2
P09874_4zzz,P09874,1
P08581_3lq8,P08581,1
C1JZ07_6cwi,C1JZ07,2
Q2N0S5_5u7o,Q2N0S5,4
P08179_1c3e,P08179,1
P48730_4kbc,P48730,2
P07900_4lwh,P07900,1
Q16875_6hvj,Q16875,2
P41182_6ew6,P41182,3
P45478_1exw,P45478,2
Q24451_3ddf,Q24451,2
P56817_2zdz,P56817,3
P58154_4qac,P58154,12
P00918_4r5b,P00918,3
Q12866_5tc0,Q12866,1
P10275_2am9,P10275,4
P00760_1k1j,P00760,2
Q8NFU5_6m8a,Q8NFU5,1
P11362_4nka,P11362,1
O14965_4uyn,O14965,3
Q9BJF5_3upz,Q9BJF5,1
P27487_3o95,P27487,11
P00766_7gch,P00766,2
Q99683_5uox,Q99683,1
O60885_4j3i,O60885,1
P07097_2wl4,P07097,1
P24941_2iw6,P24941,3
O15164_4yat,O15164,1
Q6MLN6_6hq3,Q6MLN6,1
P22455_5xfj,P22455,1
Q8WTS6_5ylt,Q8WTS6,1
Q07820_6qzb,Q07820,1
P48736_4ezj,P48736,1
P26663_2hai,P26663,3
P00918_4kni,P00918,3
P35968_2qu6,P35968,1
Q08499_3sl4,Q08499,3
P00489_4el5,P00489,4
P43813_4ucr,P43813,2
Q13126_1k27,Q13126,1
P09955_2pj5,P09955,1
P07900_2ykb,P07900,1
P08661_1rdn,P08661,1
P61964_6pge,P61964,2
Q16539_3hec,Q16539,4
Q13231_5nr8,Q13231,1
P55055_5jy3,P55055,1
Q99AU2_2qe2,Q99AU2,2
P00918_6eea,P00918,3
Q9BJF5_3sxf,Q9BJF5,1
Q59401_1onh,Q59401,1
P42527_4zmf,P42527,1
P29274_5wf5,P29274,5
P09874_5a00,P09874,1
Q24451_3ddg,Q24451,2
P98170_2jk7,P98170,2
P14740_2i3z,P14740,6
Q9RA63_4lj8,Q9RA63,2
Q00972_3tz0,Q00972,3
P00533_5c8k,P00533,1
P03372_6sq0,P03372,1
P09237_1mmr,P09237,1
Q9XEI3_6md6,Q9XEI3,2
Q9Y233_3wyl,Q9Y233,1
P00517_2jdv,P00517,1
P53582_4ikr,P53582,1
O92972_4ju3,O92972,3
Q9BJF5_3v51,Q9BJF5,1
P08709_4jze,P08709,1
P00651_6rnt,P00651,1
P9WI55_5kde,P9WI55,1
P03367_2zga,P03367,1
Q00987_4jwr,Q00987,2
P49336_5idp,P49336,1
Q9T0I8_3lgs,Q9T0I8,1
P00489_4ej2,P00489,4
P23458_6n78,P23458,1
O60674_5cf5,O60674,2
P03951_5e2p,P03951,2
P14324_3n46,P14324,3
P00918_5drs,P00918,3
P10275_2ao6,P10275,4
P07900_6ey9,P07900,1
P39900_5i4o,P39900,1
P52333_5vo6,P52333,2
P23458_4ivd,P23458,1
Q8SR45_3fmq,Q8SR45,1
P00489_3sym,P00489,4
P24941_4bco,P24941,3
P56817_5f00,P56817,3
B0R5M0_2vx9,B0R5M0,1
P56817_4ha5,P56817,3
P09960_3chr,P09960,1
P28482_5nhp,P28482,4
O28527_3ncq,O28527,2
P00742_2bmg,P00742,2
G5ELM3_6k4t,G5ELM3,1
Q8N1Q1_4hu1,Q8N1Q1,1
P00742_1nfx,P00742,2
P00940_1tpw,P00940,1
Q13882_6cz3,Q13882,1
P02766_3tct,P02766,1
P03366_1htf,P03366,1
Q0A480_4ks3,Q0A480,1
P33247_1gsz,P33247,1
O75164_6h4p,O75164,2
Q07820_5fdr,Q07820,1
O75874_6bl2,O75874,3
P00918_4q81,P00918,3
P00533_4jq7,P00533,1
P03367_2pyn,P03367,2
O43570_5msb,O43570,1
Q9Q6P4_3lkz,Q9Q6P4,1
P35968_3ewh,P35968,1
P00323_1akq,P00323,4
Q96RI1_3oof,Q96RI1,1
O60885_5uex,O60885,1
P02766_3kgt,P02766,1
P03366_1d4i,P03366,1
P55055_1pq6,P55055,1
Q9NTG7_4jsr,Q9NTG7,1
Q9Y233_3snl,Q9Y233,1
Q92793_6ay3,Q92793,2
P43235_1tu6,P43235,2
P24941_4bcn,P24941,3
P45452_5boy,P45452,1
O75164_2ybp,O75164,2
O40922_5v5d,O40922,1
O14965_3nrm,O14965,4
P25440_2yek,P25440,2
O60885_5cy9,O60885,1
P00760_1k1i,P00760,2
P08337_1ppx,P08337,1
P24941_1pxl,P24941,2
P00669_1n3z,P00669,1
Q43965_5kbg,Q43965,1
W7JP72_5zh3,W7JP72,1
P09960_3ftv,P09960,1
Q17U16_5wic,Q17U16,1
Q9Y233_4llk,Q9Y233,1
H3BCW1_6hh3,H3BCW1,1
I6YFP0_4xu1,I6YFP0,1
P42574_1gfw,P42574,1
Q8XXK6_4csd,Q8XXK6,1
P54760_2vwy,P54760,1
Q8WTS6_5ayf,Q8WTS6,1
P21146_5he2,P21146,1
P00533_3lzb,P00533,1
P35968_2p2h,P35968,1
P56817_4j1e,P56817,3
Q15047_6au2,Q15047,1
Q8A5P6_4oue,Q8A5P6,1
P55201_5e3g,P55201,1
Q90K99_4djr,Q90K99,1
P09955_2pj2,P09955,1
P00749_1w10,P00749,3
P0C2P0_2z3h,P0C2P0,1
P56817_2viy,P56817,3
Q16539_3itz,Q16539,4
P00797_5vrp,P00797,3
P24941_6gva,P24941,3
P10619_4az0,P10619,1
P00533_5x27,P00533,1
O15530_1w1d,O15530,1
P00797_2g1y,P00797,3
P00760_4abf,P00760,2
Q10714_2x97,Q10714,3
P53779_3oy1,P53779,1
P03366_1d4j,P03366,1
P62508_6i65,P62508,1
P56817_3tpr,P56817,3
Q16539_1kv2,Q16539,4
O60502_5m7t,O60502,4
Q9NWZ3_4y73,Q9NWZ3,2
P11309_5dgz,P11309,1
P27915_5eiw,P27915,1
Q9NWZ3_5kx7,Q9NWZ3,1
P48736_3l54,P48736,1
P33247_1o6r,P33247,1
P14900_2uup,P14900,1
P24941_3r8v,P24941,2
O26232_1lor,O26232,1
P56817_3ivi,P56817,3
P11309_2xiy,P11309,1
O15294_4ay6,O15294,4
Q13451_6saf,Q13451,1
P62508_2e2r,P62508,1
Q10714_1j36,Q10714,1
P56817_4i0f,P56817,3
O60885_5y94,O60885,1
P09391_3zmj,P09391,5
Q9F663_6d17,Q9F663,3
P00760_1k1m,P00760,2
P53779_2zdt,P53779,1
Q9Y3Q4_3otf,Q9Y3Q4,3
Q16539_3e93,Q16539,4
P00918_3ryy,P00918,3
Q26997_1qk3,Q26997,1
O34667_2fqo,O34667,1
P11362_4rwk,P11362,1
P80188_3u0d,P80188,1
P10721_4hvs,P10721,1
P0AEG4_6poq,P0AEG4,2
O00408_6c7j,O00408,1
P07900_6fcj,P07900,1
P53582_5yr5,P53582,1
P56817_4fsl,P56817,3
P00533_5hcy,P00533,1
Q16790_6g98,Q16790,1
Q93009_5vs6,Q93009,2
Q9H2K2_4kzq,Q9H2K2,2
Q5JD38_6emu,Q5JD38,1
A5J299_4uof,A5J299,1
O67854_2qju,O67854,5
B8HDZ1_5zla,B8HDZ1,1
P26663_4tn2,P26663,3
P42527_4zme,P42527,1
O95271_4k4f,O95271,2
P27487_2oph,P27487,11
Q08499_1y2k,Q08499,3
P08581_5hlw,P08581,1
P30044_4mmm,P30044,2
Q13627_4ylk,Q13627,3
P00749_1owd,P00749,2
P00517_1ydr,P00517,1
Q8WWQ0_5enj,Q8WWQ0,2
A5H660_6hu2,A5H660,3
Q9Y6F1_4l7n,Q9Y6F1,1
P21146_3pvu,P21146,1
P24941_4i3z,P24941,3
Q9HPW4_2ccb,Q9HPW4,1
U3KRF8_5y97,U3KRF8,1
P98170_5c7b,P98170,2
Q13153_5ime,Q13153,1
Q16539_3hv5,Q16539,4
P30044_4k7i,P30044,1
P36897_5qim,P36897,1
P14900_2vte,P14900,1
P00760_3rxi,P00760,2
Q8TEK3_4hra,Q8TEK3,1
P22734_5k09,P22734,28
P24941_2c6m,P24941,2
P97612_4hbp,P97612,1
P00489_1kti,P00489,4
D6R8X8_4d1b,D6R8X8,1
Q194T1_3tib,Q194T1,1
P56817_6bfw,P56817,3
P08709_2aei,P08709,1
Q460N5_3q71,Q460N5,1
P16442_4y64,P16442,1
P52333_5wfj,P52333,2
Q839Z1_4gee,Q839Z1,1
P03951_5qtt,P03951,2
P00742_3iit,P00742,2
P00918_5e2k,P00918,3
P00519_2e2b,P00519,5
P21836_2whp,P21836,4
P53582_2nq6,P53582,1
Q08499_2fm0,Q08499,3
P24941_2vtp,P24941,3
A9XG43_5dp8,A9XG43,1
Q9NR97_5wyz,Q9NR97,20
P71447_2wf5,P71447,1
P00749_1c5z,P00749,3
Q07010_6aps,Q07010,1
P24941_6guk,P24941,3
P03072_5j4y,P03072,1
P39900_3lir,P39900,1
P00918_3hku,P00918,3
Q5HGZ3_3u7l,Q5HGZ3,1
P22629_1n43,P22629,3
P98170_5m6f,P98170,2
A5K8L9_5yg4,A5K8L9,3
P03367_2q64,P03367,2
P22629_3wzp,P22629,2
Q5SLD7_6jam,Q5SLD7,1
Q00955_5ctc,Q00955,5
P61823_3d7b,P61823,1
P00489_2gj4,P00489,1
P04642_4ajo,P04642,1
P19491_1syh,P19491,2
P56817_4b1d,P56817,3
P53582_4iks,P53582,1
P56817_5f01,P56817,3
P03369_3hau,P03369,1
O35904_6q6y,O35904,1
P43490_4lww,P43490,2
P00730_6cpa,P00730,1
O60674_4d0w,O60674,2
Q1RBS0_6aro,Q1RBS0,1
P56817_4r91,P56817,3
O54438_4bny,O54438,1
Q13164_4zsg,Q13164,1
O14786_5iyy,O14786,1
P09960_3fhe,P09960,1
P41148_6aom,P41148,1
P53779_6emh,P53779,1
P24941_3rkb,P24941,2
O60885_6fsy,O60885,1
O32243_3ppo,O32243,1
Q08499_1xoq,Q08499,3
G7CNL4_5k4x,G7CNL4,1
P03367_1lzq,P03367,1
Q13627_3anr,Q13627,3
P02649_6nco,P02649,1
Q9H2K2_4l0b,Q9H2K2,2
P00533_3w2p,P00533,1
P43235_1snk,P43235,2
Q03181_3gz9,Q03181,3
P33247_1h39,P33247,1
P09874_1wok,P09874,1
P61823_1qhc,P61823,1
P00918_1g53,P00918,3
P47228_1lgt,P47228,1
Q05115_3ip8,Q05115,1
Q05397_4i4f,Q05397,1
Q14680_4umr,Q14680,1
B1MDI3_6qra,B1MDI3,2
Q92793_5mpk,Q92793,2
P40136_1s26,P40136,1
P00742_4btu,P00742,2
Q16539_1ove,Q16539,4
P28720_4pum,P28720,3
A5K1A2_4caf,A5K1A2,1
P56221_6std,P56221,1
P58154_3u8l,P58154,5
Q94M05_2vhq,Q94M05,1
Q92769_4ly1,Q92769,3
P56817_4frk,P56817,3
P24182_2w6m,P24182,2
P03372_1xp6,P03372,1
Q13627_5a3x,Q13627,3
P00517_1q8w,P00517,1
P54922_6g2a,P54922,1
O43570_4qj0,O43570,1
Q16539_1ouy,Q16539,4
O60885_4pce,O60885,1
P53582_2nq7,P53582,1
P52732_4ap0,P52732,3
Q10714_2x95,Q10714,3
O96935_4zx4,O96935,1
Q07820_6bw2,Q07820,1
Q9H2K2_4tjw,Q9H2K2,2
P08709_4x8v,P08709,1
P56817_4rcd,P56817,3
P04637_4agq,P04637,10
P36639_4c9w,P36639,1
Q9Z4P9_5n0f,Q9Z4P9,1
P03369_1z1r,P03369,1
P07900_4o04,P07900,1
P00918_3d9z,P00918,3
O76074_4ia0,O76074,2
Q08499_6imd,Q08499,3
A8DG50_3su6,A8DG50,1
P00760_1qcp,P00760,2
Q6N193_5oku,Q6N193,1
P03472_1xog,P03472,5
P0A988_4n99,P0A988,1
Q05320_6hs4,Q05320,7
Q6P988_6r8r,Q6P988,1
P00742_1f0r,P00742,2
Q04609_4oc1,Q04609,5
Q396C9_3b4p,Q396C9,2
P00918_5n25,P00918,3
P24941_1pxj,P24941,2
P49336_5xqx,P49336,1
P32589_3d2e,P32589,1
P01139_4xpj,P01139,1
P09874_4r6e,P09874,1
P52333_5toz,P52333,2
P00491_3k8o,P00491,2
P21836_4b85,P21836,4
P00742_2j2u,P00742,2
P20231_2fs9,P20231,1
Q5RZ08_6e9a,Q5RZ08,1
A5K8L9_5xmv,A5K8L9,3
Q13464_5kkt,Q13464,2
P62617_2gzl,P62617,1
Q92731_1u3s,Q92731,2
Q9Y6F1_4l70,Q9Y6F1,1
O60885_6fo5,O60885,1
P98170_5c7d,P98170,2
Q9H2K2_4j22,Q9H2K2,2
P0A9M2_1g9t,P0A9M2,2
Q8Q3H0_2cem,Q8Q3H0,1
P03366_3nu6,P03366,1
Q9YFY3_4rr6,Q9YFY3,1
P17931_6g0v,P17931,1
O43353_6hmx,O43353,1
Q9R0G6_3v2q,Q9R0G6,2
P53779_3v6s,P53779,1
P56817_6uvy,P56817,3
P15090_5d45,P15090,1
Q9YFY3_4rra,Q9YFY3,1
O96935_3q44,O96935,1
P20591_4p4t,P20591,1
P51955_2xk8,P51955,1
P00915_2nn7,P00915,1
P04818_6pf5,P04818,2
Q96RI1_5q17,Q96RI1,1
O60885_5d3p,O60885,1
P19491_4o3a,P19491,2
Q9RFR0_2y4l,Q9RFR0,1
Q9H2K2_5ads,Q9H2K2,2
P35247_2ggx,P35247,1
O00408_5tzc,O00408,1
O14757_5oq8,O14757,2
Q9NWZ3_6f3d,Q9NWZ3,2
P12694_1ols,P12694,1
P09467_2wbd,P09467,3
P26663_2xwy,P26663,3
Q9GK12_3umq,Q9GK12,1
Q13093_5i9i,Q13093,1
P62508_6i64,P62508,1
P22629_4y59,P22629,3
P22073_6qwi,P22073,1
O00141_3hdm,O00141,1
P00517_4c38,P00517,1
W8U368_6ex0,W8U368,1
P15167_1dth,P15167,1
O75530_5u62,O75530,2
P18031_2cnh,P18031,11
G7CNL4_5j5r,G7CNL4,1
G7CNL4_5k4z,G7CNL4,1
P21836_5ehn,P21836,4
P24941_3r8u,P24941,2
P24941_3rzb,P24941,3
P00760_5moo,P00760,2
O23346_5elw,O23346,1
P03367_3kdc,P03367,2
Q07820_3wix,Q07820,1
P9WNP1_5du8,P9WNP1,1
Q194T1_3tia,Q194T1,1
P00918_3t84,P00918,3
P61823_1o0m,P61823,1
Q16539_4eh8,Q16539,4
Q6XEC0_5fas,Q6XEC0,1
P14385_1aqi,P14385,1
P48736_3apc,P48736,1
P56817_4fse,P56817,3
Q9UNA0_3ljt,Q9UNA0,1
P56817_1w51,P56817,3
P03195_2we3,P03195,1
Q8WSF8_2w8f,Q8WSF8,3
P29274_3uzc,P29274,5
O14757_2e9u,O14757,2
P04190_4c1c,P04190,1
Q08638_2ces,Q08638,1
P11309_4alu,P11309,1
P07900_3k99,P07900,1
P28482_6g9k,P28482,4
O00408_5tz3,O00408,1
P00918_5wlv,P00918,3
P00760_2zq1,P00760,2
Q67PY4_5eue,Q67PY4,2
P37231_6dgl,P37231,2
P61823_1z6s,P61823,1
Q8E378_5jf4,Q8E378,1
P35968_3be2,P35968,1
Q13627_4yll,Q13627,3
P00742_2cji,P00742,2
Q08881_4hcu,Q08881,1
P40136_1lvc,P40136,1
O14757_5ops,O14757,2
P00760_1v2w,P00760,2
P61964_6pgc,P61964,2
P03367_1sdu,P03367,1
P00533_5em6,P00533,1
O14965_5orw,O14965,3
Q16658_6i13,Q16658,1
P03958_2ada,P03958,1
P00760_1k1l,P00760,2
Q9Y233_4muw,Q9Y233,1
P55201_5e3d,P55201,1
P00533_6duk,P00533,1
P07900_5ggz,P07900,2
O14757_3pa4,O14757,2
P60568_1m48,P60568,1
Q16658_6i17,Q16658,1
O32253_3bxh,O32253,1
P04637_5o1c,P04637,10
Q92831_5fdz,Q92831,1
P04150_3k23,P04150,4
P43490_5kit,P43490,2
P56658_1uml,P56658,1
P12499_1hxw,P12499,3
Q9Y233_4tpp,Q9Y233,1
P03366_1ec0,P03366,1
O14757_2ym3,O14757,2
P69834_4nal,P69834,1
O95271_4msk,O95271,2
Q58597_4rrf,Q58597,2
P28482_4qp9,P28482,4
P08473_1r1i,P08473,5
P00746_5nb7,P00746,2
P28482_5ax3,P28482,4
P00918_4z1k,P00918,3
P24941_1h0w,P24941,2
P11309_5dhj,P11309,1
O14757_2ydi,O14757,2
Q9ELS8_2oc0,Q9ELS8,1
P28482_2oji,P28482,4
Q96RI1_5q0p,Q96RI1,1
P00742_1v3x,P00742,2
O00408_6cyc,O00408,1
Q13490_4hy4,Q13490,1
O14757_5op5,O14757,2
P07900_1uyc,P07900,1
P10415_6qgk,P10415,2
P00918_3ffp,P00918,3
Q13451_4jfk,Q13451,1
Q89ZI2_5abg,Q89ZI2,1
Q9Y233_3ws9,Q9Y233,1
P00720_188l,P00720,1
O75530_5h17,O75530,2
P56373_5svl,P56373,1
P09237_2y6c,P09237,1
P0A6D3_1g6s,P0A6D3,1
Q9UUB1_2a58,Q9UUB1,2
C3W5S0_6e6w,C3W5S0,2
P47205_4lch,P47205,2
Q00972_4dzy,Q00972,3
Q9NYA1_4l02,Q9NYA1,1
P00509_1toi,P00509,1
C3W5S0_5wb3,C3W5S0,2
P00533_3w2r,P00533,1
G7CNL4_6d4v,G7CNL4,1
P00533_5em7,P00533,1
P19491_1mqg,P19491,2
P56817_3msj,P56817,3
Q02750_3mbl,Q02750,1
P16442_4kc2,P16442,1
P56817_3vv6,P56817,3
O76074_4oew,O76074,2
P06710_1xxh,P06710,1
O60885_4pci,O60885,1
O15530_1okz,O15530,4
P02879_1br5,P02879,1
P09960_3fud,P09960,1
P09237_1mmq,P09237,1
P28482_6slg,P28482,4
C7C422_6d1d,C7C422,1
P36897_1rw8,P36897,1
P04058_6g4m,P04058,8
Q9WMX2_5pzn,Q9WMX2,2
P80561_1f2p,P80561,1
P56817_4rrs,P56817,3
P28482_5nhl,P28482,4
O14744_4x61,O14744,1
P04062_3ril,P04062,3
P56524_5a2s,P56524,1
Q02763_2osc,Q02763,1
Q9NZK7_5wzv,Q9NZK7,1
P08709_5tqg,P08709,1
P07900_6cyg,P07900,1
P21836_2ha7,P21836,1
Q6GJI9_4hlc,Q6GJI9,1
Q7B8P6_3qps,Q7B8P6,1
Q13093_5jao,Q13093,1
P56817_4lxa,P56817,3
P53582_5ykp,P53582,1
O60885_6ajz,O60885,1
O75469_4x1f,O75469,1
P00918_2qo8,P00918,3
P98170_5oqw,P98170,2
P0A786_1d09,P0A786,1
O76074_6acb,O76074,2
P24941_4acm,P24941,2
P00918_4pyy,P00918,3
Q9H2K2_4kzl,Q9H2K2,2
Q08499_6imi,Q08499,3
P14324_3n1v,P14324,3
P56817_4lc7,P56817,3
Q9HYN5_2jdm,Q9HYN5,2
P55263_4o1l,P55263,1
Q9L1K2_5vt4,Q9L1K2,1
Q7SIB7_1vjc,Q7SIB7,1
P08254_1d8f,P08254,1
P29597_4gj2,P29597,1
O75460_6hx1,O75460,1
P18031_1ecv,P18031,11
P23007_1csi,P23007,1
Q8H1R0_6nwc,Q8H1R0,1
P22411_2aj8,P22411,7
P56817_4h3f,P56817,3
P22629_3wzn,P22629,1
P08581_3l8v,P08581,1
Q9H2K2_4m7b,Q9H2K2,2
A6LE66_5wdl,A6LE66,1
P00533_2ito,P00533,1
P43889_4knx,P43889,1
Q2FXC2_3ufa,Q2FXC2,1
P21836_1n5r,P21836,4
O60674_5tq4,O60674,2
P09955_2pj0,P09955,1
P00533_5hg7,P00533,1
P00489_4eke,P00489,4
O14965_4jai,O14965,3
O00255_5ddf,O00255,3
P09391_2xow,P09391,5
P26281_1ru2,P26281,1
P28482_5nhf,P28482,4
Q9I676_6klk,Q9I676,1
P35968_3u6j,P35968,1
Q873X9_2iuz,Q873X9,1
O95271_5ece,O95271,2
Q0P8Q4_5tcy,Q0P8Q4,1
